Age Group,High Income,Credit Score > 650,Stable Job,Approved,
Older,No,No,No,No,
Older,Yes,Yes,No,No,
Older,Yes,No,Yes,No,
Younger,No,Yes,No,No,
Younger,Yes,No,Yes,Yes,
Younger,Yes,Yes,No,Yes,
Older,No,Yes,No,Yes,
Younger,No,No,Yes,No,
Younger,No,No,Yes,No,
Older,Yes,No,No,No,
Older,No,Yes,No,Yes,
Younger,No,No,No,No,
Younger,No,Yes,No,No,
Older,No,No,Yes,Yes,
Younger,No,No,No,No,
Younger,No,No,Yes,Yes,
Older,No,Yes,Yes,Yes,
Younger,No,Yes,Yes,Yes,
Older,No,No,Yes,No,
Older,No,Yes,No,No,
Younger,Yes,No,Yes,No,
Older,Yes,Yes,No,Yes,
Younger,No,Yes,Yes,Yes,
Older,No,No,No,No,
Older,No,Yes,No,No,
Older,No,Yes,No,No,
Older,No,No,No,No,
Older,No,Yes,No,No,
Younger,Yes,No,Yes,Yes,
Younger,Yes,No,No,Yes,
Older,Yes,Yes,Yes,Yes,
Older,Yes,Yes,No,Yes,
Older,No,Yes,Yes,Yes,
Older,No,No,Yes,No,
Younger,No,Yes,Yes,No,
Younger,Yes,Yes,Yes,Yes,
Younger,Yes,No,No,No,
Younger,Yes,No,No,Yes,
Younger,No,Yes,No,No,
Older,No,No,Yes,No,
Older,No,No,Yes,Yes,
Younger,Yes,No,Yes,Yes,
Older,Yes,No,No,Yes,
Older,Yes,No,Yes,No,
Younger,Yes,No,Yes,Yes,
Younger,No,No,No,No,
Older,Yes,No,Yes,Yes,
Older,Yes,Yes,No,Yes,
Younger,Yes,No,No,No,
Older,No,No,No,No,
Younger,Yes,Yes,No,No,
Younger,No,No,Yes,No,
Older,Yes,Yes,Yes,No,
Younger,Yes,No,Yes,No,
Younger,Yes,Yes,No,Yes,
Older,No,No,Yes,No,
Younger,Yes,No,No,Yes,
Younger,Yes,Yes,Yes,Yes,
Younger,No,No,Yes,Yes,
Younger,Yes,Yes,Yes,Yes,
Younger,No,No,Yes,No,
Younger,Yes,Yes,Yes,Yes,
Older,Yes,No,Yes,No,
Older,Yes,Yes,No,Yes,
Older,Yes,No,Yes,Yes,
Younger,Yes,Yes,No,Yes,
Older,Yes,No,No,Yes,
Younger,No,No,No,No,
Older,No,No,No,Yes,
Younger,Yes,No,No,No,
Older,No,Yes,Yes,No,
Younger,Yes,No,Yes,Yes,
Younger,No,Yes,No,Yes,
Older,Yes,No,No,No,
Younger,Yes,Yes,No,No,
Younger,Yes,Yes,No,No,
Older,Yes,No,Yes,No,
Younger,Yes,No,No,Yes,
Younger,Yes,Yes,Yes,Yes,
Younger,Yes,Yes,No,Yes,
Older,Yes,Yes,Yes,No,
Older,No,No,Yes,No,
Older,Yes,No,No,No,
Younger,No,No,No,Yes,
Younger,No,No,No,No,
Older,No,No,No,No,
Younger,No,Yes,No,No,
Older,Yes,No,No,No,
Younger,No,No,No,No,
Older,No,Yes,No,No,
Older,Yes,Yes,No,Yes,
Younger,Yes,No,No,No,
Younger,Yes,Yes,Yes,Yes,
Older,Yes,No,Yes,Yes,
Older,Yes,Yes,Yes,Yes,
Younger,No,Yes,No,No,
Younger,No,Yes,No,No,
Older,Yes,Yes,Yes,Yes,
Older,Yes,No,Yes,Yes,
Younger,Yes,No,Yes,Yes,
Older,Yes,Yes,Yes,Yes,
Older,Yes,No,Yes,No,
Younger,Yes,No,No,No,
Younger,No,Yes,Yes,Yes,
Younger,Yes,Yes,No,No,
Younger,No,Yes,Yes,Yes,
Older,Yes,Yes,Yes,Yes,
Older,No,Yes,No,No,
Younger,Yes,Yes,No,Yes,
Younger,No,Yes,Yes,Yes,
Younger,No,Yes,No,No,
Older,Yes,Yes,Yes,Yes,
Older,No,No,No,No,
Younger,No,Yes,Yes,No,
Older,No,Yes,No,No,
Younger,Yes,No,Yes,No,
Older,No,Yes,No,No,
Older,Yes,No,No,Yes,
Younger,No,Yes,No,No,
Older,Yes,No,Yes,Yes,
Older,Yes,No,No,No,
Younger,Yes,Yes,No,No,
Younger,No,Yes,Yes,Yes,
Younger,No,Yes,No,Yes,
Older,Yes,No,Yes,Yes,
Older,Yes,Yes,No,Yes,
Younger,No,No,No,No,
Younger,No,Yes,Yes,No,
Older,No,No,Yes,Yes,
Older,Yes,No,No,No,
Younger,No,No,Yes,No,
Older,Yes,No,No,Yes,
Older,No,No,No,No,
Younger,No,Yes,Yes,Yes,
Older,Yes,No,No,No,
Younger,Yes,No,No,No,
Older,Yes,Yes,Yes,Yes,
Younger,Yes,Yes,Yes,Yes,
Older,No,Yes,Yes,Yes,
Younger,Yes,No,No,No,
Younger,No,No,No,No,
Younger,No,No,Yes,No,
Younger,No,No,No,No,
Older,No,Yes,Yes,Yes,
Older,No,No,Yes,No,
Older,Yes,No,Yes,Yes,
Older,Yes,Yes,Yes,Yes,
Younger,Yes,Yes,No,Yes,
Older,No,No,No,Yes,
Older,No,No,Yes,No,
Younger,No,No,Yes,No,
Younger,No,No,No,No,
Older,No,No,No,No,
Older,Yes,Yes,Yes,Yes,
Older,Yes,Yes,No,No,
Older,No,Yes,Yes,Yes,
Younger,No,No,Yes,No,
Younger,Yes,No,Yes,No,
Older,Yes,Yes,No,Yes,
Older,No,No,Yes,No,
Younger,No,No,Yes,No,
Younger,Yes,No,No,No,
Younger,No,Yes,No,No,
Younger,No,No,No,No,
Older,No,Yes,No,Yes,
Older,No,Yes,Yes,No,
Younger,Yes,Yes,Yes,Yes,
Older,No,Yes,Yes,Yes,
Older,No,Yes,Yes,Yes,
Older,No,Yes,Yes,Yes,
Older,No,Yes,Yes,No,
Older,No,No,No,Yes,
Older,Yes,Yes,No,Yes,
Older,No,Yes,Yes,Yes,
Younger,No,Yes,No,No,
Younger,No,No,No,No,
Younger,Yes,No,Yes,No,
Older,Yes,No,No,No,
Younger,No,Yes,No,No,
Older,No,No,No,No,
Older,Yes,Yes,Yes,Yes,
Older,No,Yes,Yes,Yes,
Younger,No,Yes,Yes,No,
Younger,Yes,No,Yes,No,
Younger,No,Yes,Yes,Yes,
Younger,Yes,Yes,Yes,Yes,
Younger,Yes,Yes,Yes,Yes,
Younger,Yes,Yes,No,Yes,
Older,No,No,No,No,
Older,No,No,Yes,Yes,
Younger,Yes,No,Yes,Yes,
Older,No,Yes,No,No,
Older,Yes,Yes,No,No,
Younger,No,No,No,No,
Older,No,Yes,No,No,
Younger,Yes,Yes,Yes,Yes,
Older,Yes,Yes,No,No,
Older,No,No,No,No,
Younger,No,No,Yes,No,
Younger,Yes,Yes,Yes,Yes,
,,,,,
Frequency Table,,,,,
Age Group,High Income,Credit Score > 650,Stable Job,No,Yes
Older,No,No,No,11,3
Older,No,No,Yes,8,4
Older,No,Yes,No,10,3
Older,No,Yes,Yes,3,10
Older,Yes,No,No,8,4
Older,Yes,No,Yes,5,7
Older,Yes,Yes,No,4,8
Older,Yes,Yes,Yes,2,10
Younger,No,No,No,13,1
Younger,No,No,Yes,10,2
Younger,No,Yes,No,11,2
Younger,No,Yes,Yes,4,8
Younger,Yes,No,No,8,4
Younger,Yes,No,Yes,6,7
Younger,Yes,Yes,No,5,7
Younger,Yes,Yes,Yes,0,12
